Date,Open,High,Low,Close,Volume,Change
2015-01-02,59000,59600,58200,59100,50078,-0.01170568561872909
2015-01-05,58500,59500,58000,59100,29142,0.0
2015-01-06,59100,59800,58200,59100,113154,0.0
2015-01-07,59300,59300,57500,58000,134857,-0.0186125211505922
2015-01-08,58000,60100,58000,60100,42370,0.036206896551724155
2015-01-09,60100,60200,59200,59300,18540,-0.01331114808652245
2015-01-12,58700,59900,58600,59800,13981,0.008431703204047292
2015-01-13,60300,60300,59600,59700,18059,-0.0016722408026755842
2015-01-14,59200,60200,59200,59600,15283,-0.0016750418760469454
2015-01-15,59500,60700,59000,60400,31240,0.01342281879194629
2015-01-16,60700,60700,59600,60200,23783,-0.0033112582781457123
2015-01-19,60400,61000,60300,60400,24230,0.0033222591362125353
2015-01-20,60400,61000,59400,60700,44947,0.004966887417218624
2015-01-21,60100,60900,60100,60600,12961,-0.0016474464579900872
2015-01-22,60600,61300,60300,60400,29816,-0.0033003300330033403
2015-01-23,60700,61300,60400,60700,30468,0.004966887417218624
2015-01-26,60700,61000,60100,61000,10656,0.0049423393739702615
2015-01-27,61300,61300,60200,60500,23699,-0.008196721311475419
2015-01-28,60000,60700,60000,60400,25434,-0.0016528925619834212
2015-01-29,60100,61000,59600,59800,42452,-0.009933774834437137
2015-01-30,60100,60900,59600,60600,50249,0.013377926421404673
2015-02-02,60100,60800,60100,60600,22641,0.0
2015-02-03,60300,60700,59800,60400,37297,-0.0033003300330033403
2015-02-04,60700,61500,60400,61200,40966,0.013245033112582849
2015-02-05,60800,62000,60800,62000,45126,0.013071895424836555
2015-02-06,61600,62000,61200,61800,27168,-0.003225806451612856
2015-02-09,61500,62300,61300,61500,35571,-0.004854368932038833
2015-02-10,62300,62300,60500,61300,33951,-0.003252032520325243
2015-02-11,61000,61500,60100,61300,65316,0.0
2015-02-12,60600,61300,60400,61000,25560,-0.004893964110929905
2015-02-13,60800,61500,60400,61100,33544,0.0016393442622950616
2015-02-16,60700,61400,60200,60400,22712,-0.011456628477905073
2015-02-17,60400,61200,60300,61100,13930,0.011589403973509826
2015-02-23,61100,61600,60800,61500,23247,0.00654664484451728
2015-02-24,61200,61900,61200,61800,20977,0.004878048780487809
2015-02-25,61900,62300,61400,62000,38192,0.003236245954692629
2015-02-26,62000,62400,61200,62200,46059,0.003225806451612856
2015-02-27,61700,62500,61700,61800,23593,-0.006430868167202619
2015-03-02,61600,61900,60600,60700,63402,-0.017799352750809017
2015-03-03,60700,60900,60200,60700,64438,0.0
2015-03-04,60400,60900,60400,60400,19980,-0.0049423393739703725
2015-03-05,60200,61600,60200,61100,45282,0.011589403973509826
2015-03-06,60900,61600,60400,61200,44900,0.0016366612111293755
2015-03-09,60600,61100,60000,60300,32774,-0.014705882352941124
2015-03-10,60300,61400,60300,60900,124093,0.00995024875621886
2015-03-11,60900,61100,60200,61000,51407,0.0016420361247948545
2015-03-12,60600,61000,60100,60100,57426,-0.014754098360655776
2015-03-13,60500,60600,59100,60100,61408,0.0
2015-03-16,60000,60000,58900,59200,45180,-0.014975041597337757
2015-03-17,59300,60500,59000,60400,69264,0.020270270270270174
2015-03-18,60600,60600,59600,59600,31204,-0.013245033112582738
2015-03-19,59500,59800,58700,59700,109815,0.001677852348993314
2015-03-20,59600,59600,58900,59100,51001,-0.01005025125628145
2015-03-23,59200,59800,58600,59600,38914,0.008460236886632888
2015-03-24,60300,62400,60100,62400,149799,0.046979865771812124
2015-03-25,62600,62800,61800,62300,41890,-0.0016025641025640969
2015-03-26,62200,63600,61800,63000,68067,0.011235955056179803
2015-03-27,63000,63400,62200,62600,49090,-0.006349206349206327
2015-03-30,62600,63300,62200,62900,47372,0.004792332268370503
2015-03-31,62900,63900,62900,63800,51634,0.014308426073131875
2015-04-01,63400,63800,63100,63500,39781,-0.00470219435736674
2015-04-02,63000,63400,61600,62100,94284,-0.022047244094488216
2015-04-03,61800,62300,60700,61500,86537,-0.009661835748792313
2015-04-06,61200,61900,60500,60700,79901,-0.013008130081300862
2015-04-07,60700,61600,60600,61100,54304,0.006589785831960571
2015-04-08,60800,61800,60700,61600,46285,0.008183306055646433
2015-04-09,61600,61600,60700,61500,46147,-0.0016233766233766378
2015-04-10,61100,61700,60800,61600,44375,0.001626016260162677
2015-04-13,60700,60800,59900,60000,91304,-0.025974025974025983
2015-04-14,60000,60600,59800,60500,82020,0.008333333333333304
2015-04-15,60200,60700,59700,60500,70656,0.0
2015-04-16,60400,60800,59900,60100,62013,-0.006611570247933907
2015-04-17,60000,60200,59500,59700,74060,-0.006655574043261225
2015-04-20,59300,60000,59200,59500,49280,-0.00335008375209378
2015-04-21,59600,60200,59000,59000,89507,-0.008403361344537785
2015-04-22,59000,59600,58900,59500,63477,0.008474576271186418
2015-04-23,59500,60100,59100,60000,78469,0.008403361344537785
2015-04-24,60000,60200,59500,59900,85906,-0.0016666666666667052
2015-04-27,60000,60400,59700,59900,51218,0.0
2015-04-28,59900,60400,59400,60100,76523,0.0033388981636059967
2015-04-29,60200,60700,59400,59800,65935,-0.004991680532445919
2015-04-30,59500,59900,58800,59200,59072,-0.010033444816053505
2015-05-04,58700,58700,56800,56900,114537,-0.038851351351351315
2015-05-06,57000,57700,55100,55200,109783,-0.02987697715289983
2015-05-07,55200,55500,54000,54200,89835,-0.018115942028985477
2015-05-08,54200,55400,54200,55000,40106,0.014760147601476037
2015-05-11,55500,56200,53900,54500,113028,-0.009090909090909038
2015-05-12,55700,56200,55000,55400,104065,0.016513761467889854
2015-05-13,55600,55800,55000,55300,65787,-0.0018050541516245744
2015-05-14,55200,55500,54800,55400,59414,0.001808318264014508
2015-05-15,55400,55400,54400,54600,77892,-0.014440433212996373
2015-05-18,54700,54700,53900,54000,69665,-0.01098901098901095
2015-05-19,54000,54800,53900,54000,52682,0.0
2015-05-20,54100,55200,54000,54900,62577,0.016666666666666607
2015-05-21,54900,55000,53700,53700,66777,-0.021857923497267784
2015-05-22,53700,54400,53700,54300,51832,0.011173184357541999
2015-05-26,54300,54400,53700,53700,57242,-0.011049723756906049
2015-05-27,53400,54200,53100,53300,85571,-0.007448789571694592
2015-05-28,53200,53500,52000,52200,104675,-0.0206378986866792
2015-05-29,52000,53600,52000,53000,108055,0.015325670498084198
2015-06-01,52600,53600,52400,53200,61076,0.0037735849056603765
2015-06-02,53200,53400,52300,52300,44682,-0.016917293233082664
2015-06-03,52400,52700,51600,51600,58799,-0.013384321223709361
2015-06-04,51400,51900,50200,50200,85433,-0.027131782945736482
2015-06-05,50000,50700,49950,50300,80205,0.0019920318725099584
2015-06-08,50300,50300,49500,49550,117862,-0.01491053677932408
2015-06-09,49600,50200,49350,49450,53399,-0.0020181634712411745
2015-06-10,49400,49700,48700,48800,60534,-0.013144590495449915
2015-06-11,49300,49400,48300,49000,89735,0.004098360655737654
2015-06-12,49000,49500,47900,48100,103660,-0.01836734693877551
2015-06-15,47700,48650,47700,48000,44555,-0.0020790020790020236
2015-06-16,48000,48700,47750,47800,84396,-0.004166666666666652
2015-06-17,48000,48500,47700,47700,60030,-0.0020920502092049986
2015-06-18,47950,48100,46850,48050,85498,0.007337526205450695
2015-06-19,48100,48150,46900,46900,104088,-0.02393340270551514
2015-06-22,47100,47350,46450,46600,85326,-0.006396588486140775
2015-06-23,46800,47350,46500,46500,91864,-0.0021459227467811592
2015-06-24,46550,47450,46500,47400,117181,0.019354838709677358
2015-06-25,47400,47400,46750,47000,66599,-0.008438818565400852
2015-06-26,46750,46950,46000,46300,55473,-0.014893617021276562
2015-06-29,45300,45600,44550,44550,92258,-0.03779697624190059
2015-06-30,44350,45800,44300,45700,70009,0.02581369248035914
2015-07-01,46000,46500,45400,46250,50352,0.012035010940919078
2015-07-02,45900,46700,45550,45600,73115,-0.014054054054054022
2015-07-03,46000,46000,45300,45500,68931,-0.002192982456140302
2015-07-06,45500,45600,44950,45050,71710,-0.009890109890109855
2015-07-07,45050,46900,44950,46500,142793,0.03218645948945609
2015-07-08,46900,49500,46750,48800,322279,0.04946236559139794
2015-07-09,49100,50900,48300,49700,395921,0.018442622950819665
2015-07-10,50400,51400,49700,51000,218682,0.026156941649899457
2015-07-13,51600,51700,50400,51000,139548,0.0
2015-07-14,51000,51600,50400,50400,96520,-0.0117647058823529
2015-07-15,51000,51100,50100,50500,54497,0.001984126984126977
2015-07-16,50500,50900,49100,50500,89188,0.0
2015-07-17,50500,51600,50200,51300,101555,0.015841584158415856
2015-07-20,51300,51500,50300,50400,67308,-0.01754385964912286
2015-07-21,51400,55200,50800,54800,295311,0.08730158730158721
2015-07-22,54200,54300,52400,52900,142129,-0.034671532846715314
2015-07-23,52900,54700,52100,54400,112039,0.02835538752362954
2015-07-24,54000,54900,52500,52800,139244,-0.02941176470588236
2015-07-27,53200,53200,51600,51800,93376,-0.018939393939393923
2015-07-28,51000,51600,49900,50000,148482,-0.03474903474903479
2015-07-29,50300,52100,49900,51800,98563,0.03600000000000003
2015-07-30,52200,52600,51100,51700,75676,-0.0019305019305019266
2015-07-31,51700,52200,50900,52200,88738,0.009671179883945946
2015-08-03,51900,52400,50800,51700,55641,-0.009578544061302652
2015-08-04,52300,54000,51000,53700,90052,0.03868471953578334
2015-08-05,53100,53900,52700,53700,64730,0.0
2015-08-06,54200,55100,54000,54400,150270,0.013035381750465591
2015-08-07,54100,55000,53500,54300,60937,-0.0018382352941176405
2015-08-10,54300,54800,51900,53700,61858,-0.011049723756906049
2015-08-11,53700,53700,50600,50600,106411,-0.05772811918063314
2015-08-12,49500,51200,49200,51200,72067,0.011857707509881354
2015-08-13,51400,51400,50100,50100,55517,-0.021484375
2015-08-17,49900,50800,49400,49900,59504,-0.003992015968063867
2015-08-18,49450,49600,46600,46650,171054,-0.0651302605210421
2015-08-19,46700,46900,44500,46000,172635,-0.01393354769560562
2015-08-20,44600,45600,43900,44400,129756,-0.034782608695652195
2015-08-21,43450,43800,41850,43450,158010,-0.021396396396396344
2015-08-24,43000,43750,41900,42150,98536,-0.029919447640966657
2015-08-25,42700,42700,40700,41200,148451,-0.022538552787663146
2015-08-26,41400,44500,40800,44050,141282,0.06917475728155331
2015-08-27,44050,44550,43100,43300,78908,-0.017026106696935273
2015-08-28,43500,44000,43200,43650,82130,0.008083140877598094
2015-08-31,43400,44300,43150,43200,81605,-0.010309278350515427
2015-09-01,43050,43500,42500,42800,82597,-0.0092592592592593
2015-09-02,42000,42300,41650,41700,96870,-0.025700934579439227
2015-09-03,42000,42550,41100,41200,126012,-0.011990407673860948
2015-09-04,41200,42400,41150,41750,99035,0.013349514563106846
2015-09-07,41700,42150,41100,41150,55106,-0.014371257485029987
2015-09-08,41250,41750,41000,41400,50775,0.0060753341433779084
2015-09-09,41750,42100,41600,42000,98798,0.01449275362318847
2015-09-10,41800,43050,41700,43050,113359,0.02499999999999991
2015-09-11,42600,44900,42600,44650,154888,0.03716608594657367
2015-09-14,44650,44800,42700,43500,122166,-0.025755879059350506
2015-09-15,43550,43750,43250,43350,49661,-0.0034482758620689724
2015-09-16,43700,45400,43350,45150,142263,0.04152249134948094
2015-09-17,45600,46650,44800,45600,115254,0.009966777408637828
2015-09-18,46200,46200,45250,45500,87344,-0.002192982456140302
2015-09-21,45050,45050,44150,44450,60101,-0.023076923076923106
2015-09-22,44700,45100,44300,44950,80154,0.011248593925759387
2015-09-23,44300,45500,43800,45500,152406,0.012235817575083408
2015-09-24,45900,45900,44700,45000,97908,-0.01098901098901095
2015-09-25,45000,45300,44600,44950,66644,-0.0011111111111110628
2015-09-30,44000,45700,43950,45500,99784,0.012235817575083408
2015-10-01,45550,46800,45100,46400,81382,0.01978021978021971
2015-10-02,45100,45350,44050,44050,151368,-0.0506465517241379
2015-10-05,44100,44500,43400,43700,101950,-0.007945516458569779
2015-10-06,43950,44300,42700,42950,158944,-0.017162471395881007
2015-10-07,42900,44600,42300,44450,119045,0.0349243306169964
2015-10-08,45200,46300,44950,46100,239563,0.03712035995500562
2015-10-12,46300,48250,46300,47450,276498,0.029284164859002093
2015-10-13,47500,47550,46500,46700,125836,-0.015806111696522684
2015-10-14,46500,47250,45500,45850,152497,-0.018201284796573902
2015-10-15,45950,47800,45950,47500,161679,0.03598691384950925
2015-10-16,48400,48400,46350,46750,102708,-0.015789473684210575
2015-10-19,46750,47400,46000,46400,99807,-0.007486631016042744
2015-10-20,46250,46950,45700,45750,91998,-0.014008620689655138
2015-10-21,46150,48950,45950,48300,344456,0.05573770491803276
2015-10-22,48250,50600,47600,49250,209542,0.019668737060041463
2015-10-23,50000,51100,49550,50700,197709,0.029441624365482255
2015-10-26,51000,51600,49600,50800,111850,0.0019723865877712132
2015-10-27,51200,51800,50400,51500,92922,0.013779527559055094
2015-10-28,51800,51800,50400,51100,86579,-0.007766990291262155
2015-10-29,50900,51100,49600,49600,113767,-0.02935420743639927
2015-10-30,49300,50600,49200,49700,87921,0.002016129032258007
2015-11-02,49300,50600,48700,49700,85944,0.0
2015-11-03,49450,51500,49450,51500,138269,0.03621730382293764
2015-11-04,51500,51700,50600,51200,130099,-0.005825242718446644
2015-11-05,51100,51200,50000,50400,82679,-0.015625
